"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","HEALTHEXP","COMPULSORY","PC_GDP","A","2008",7.227,
"USA","HEALTHEXP","COMPULSORY","PC_GDP","A","2009",7.852,
"USA","HEALTHEXP","COMPULSORY","PC_GDP","A","2010",7.924,
"USA","HEALTHEXP","COMPULSORY","PC_GDP","A","2011",7.911,
"USA","HEALTHEXP","COMPULSORY","PC_GDP","A","2012",7.888,
"USA","HEALTHEXP","COMPULSORY","PC_GDP","A","2013",7.927,
"USA","HEALTHEXP","COMPULSORY","PC_GDP","A","2014",13.8,
"USA","HEALTHEXP","COMPULSORY","PC_GDP","A","2015",14.132,
"USA","HEALTHEXP","COMPULSORY","PC_GDP","A","2016",14.391,
"USA","HEALTHEXP","COMPULSORY","PC_GDP","A","2017",14.352,
"USA","HEALTHEXP","COMPULSORY","PC_GDP","A","2018",14.3,
"USA","HEALTHEXP","COMPULSORY","PC_GDP","A","2019",14.379,"E"
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1970",3.923,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1971",3.949,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1972",4.025,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1973",3.993,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1974",4.084,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1975",4.2,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1976",4.386,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1977",4.569,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1978",4.516,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1979",4.569,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1980",4.783,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1981",4.946,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1982",5.39,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1983",5.47,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1984",5.505,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1985",5.683,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1986",5.716,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1987",5.833,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1988",6.197,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1989",6.405,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1990",6.761,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1991",6.978,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1992",6.967,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1993",6.975,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1994",6.739,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1995",6.744,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1996",6.724,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1997",6.696,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1998",6.868,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","1999",6.927,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2000",7,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2001",7.251,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2002",7.686,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2003",7.999,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2004",7.999,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2005",7.976,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2006",7.92,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2007",8.022,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2008",8.06,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2009",8.432,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2010",8.421,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2011",8.389,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2012",8.397,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2013",8.283,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2014",2.606,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2015",2.579,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2016",2.658,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2017",2.652,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2018",2.585,
"USA","HEALTHEXP","VOLUNTARY","PC_GDP","A","2019",2.582,"E"
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1970",37.196,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1971",38.115,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1972",38.234,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1973",38.863,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1974",40.404,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1975",41.572,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1976",41.009,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1977",40.527,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1978",41.013,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1979",41.315,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1980",41.963,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1981",41.982,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1982",41.49,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1983",41.439,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1984",40.752,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1985",40.27,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1986",41.008,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1987",41.283,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1988",39.966,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1989",39.999,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1990",40.189,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1991",41.745,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1992",43.129,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1993",44.228,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1994",45.772,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1995",46.227,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1996",46.231,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1997",46.056,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1998",44.739,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1999",44.269,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2000",44.19,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2001",45.15,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2002",45.131,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2003",44.915,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2004",45.247,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2005",45.391,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2006",46.128,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2007",46.229,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2008",47.275,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2009",48.221,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2010",48.48,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2011",48.533,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2012",48.437,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2013",48.903,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2014",84.115,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2015",84.569,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2016",84.407,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2017",84.405,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2018",84.692,
"USA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2019",84.779,"E"
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1970",62.804,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1971",61.885,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1972",61.766,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1973",61.137,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1974",59.596,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1975",58.428,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1976",58.991,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1977",59.473,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1978",58.987,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1979",58.685,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1980",58.037,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1981",58.018,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1982",58.51,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1983",58.561,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1984",59.248,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1985",59.73,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1986",58.992,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1987",58.717,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1988",60.034,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1989",60.001,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1990",59.811,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1991",58.255,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1992",56.871,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1993",55.772,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1994",54.228,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1995",53.773,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1996",53.769,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1997",53.944,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1998",55.261,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","1999",55.731,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2000",55.81,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2001",54.85,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2002",54.869,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2003",55.085,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2004",54.753,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2005",54.609,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2006",53.872,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2007",53.771,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2008",52.725,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2009",51.779,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2010",51.52,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2011",51.467,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2012",51.563,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2013",51.097,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2014",15.885,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2015",15.431,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2016",15.593,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2017",15.595,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2018",15.308,
"USA","HEALTHEXP","VOLUNTARY","PC_HEALTHXP","A","2019",15.221,"E"
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1970",121.618,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1971",136.449,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1972",151.828,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1973",170.724,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1974",200.048,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1975",233.112,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1976",261.985,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1977",294.325,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1978",331.748,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1979",375.534,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1980",434.865,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1981",500.236,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1982",551.686,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1983",601.672,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1984",648.222,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1985",698.745,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1986",757.743,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1987",821.759,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1988",883.532,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1989",975.994,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1990",1085.25,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1991",1217.277,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1992",1342.963,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1993",1459.52,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1994",1575.461,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1995",1663.424,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1996",1732.561,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1997",1798.668,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1998",1826.702,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","1999",1898.934,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2000",2013.809,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2001",2216.303,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2002",2403.73,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2003",2576.079,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2004",2757.413,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2005",2924.628,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2006",3139.898,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2007",3308.767,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2008",3496.375,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2009",3698.353,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",3840.691,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",3946.468,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",4071.131,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",4210.808,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",7599.11,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",8032.56,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",8339.574,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",8620.039,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",9008.766,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",9386.459,"E"
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1970",205.343,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1971",221.539,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1972",245.269,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1973",268.578,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1974",295.066,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1975",327.638,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1976",376.866,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1977",431.916,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1978",477.136,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1979",533.428,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1980",601.436,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1981",691.302,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1982",777.983,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1983",850.273,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1984",942.445,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1985",1036.412,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1986",1090.03,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1987",1168.784,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1988",1327.163,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1989",1464.066,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1990",1615.105,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1991",1698.676,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1992",1770.883,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1993",1840.455,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1994",1866.493,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1995",1934.954,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1996",2015.063,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1997",2106.734,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1998",2256.351,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","1999",2390.631,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2000",2543.342,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2001",2692.412,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2002",2922.351,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2003",3159.434,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2004",3336.778,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2005",3518.63,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2006",3667.015,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2007",3848.57,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2008",3899.51,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2009",3971.278,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2010",4081.509,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2011",4184.998,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2012",4333.806,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2013",4399.791,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2014",1435.059,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",1465.728,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1540.582,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1592.709,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1628.376,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1685.255,"E"
